,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,Linear,RandomForest,GBR,DecisionTree,XGB
15226,-117.24,33.05,15,3029,555.0,1559,546,5.3129,169200,NEAR OCEAN,267050.38,287878.03,271402.99,261817.65,234237.09
11106,-117.9,33.85,31,3413,764.0,2326,728,4.325,187100,<1H OCEAN,236154.45,198759.0,215022.49,190356.46,203921.16
16418,-121.27,37.87,34,1010,206.0,678,234,2.9531,104000,INLAND,131421.67,101628.0,101759.78,104911.48,102917.94
5123,-118.31,33.96,47,2005,392.0,1134,415,3.7143,140300,<1H OCEAN,240440.45,168353.0,227445.95,190835.07,170169.98
4376,-118.28,34.1,49,2843,880.0,2004,796,2.7875,217300,<1H OCEAN,225812.59,295268.03,254758.87,230800.0,259487.64
1736,-122.32,37.97,33,1156,190.0,643,209,4.5,156600,NEAR BAY,249710.8,202076.0,194744.91,179700.0,170682.88
12920,-121.31,38.66,26,1604,245.0,751,267,4.7381,140500,INLAND,173486.91,153606.0,165198.64,146129.41,146715.53
16576,-121.43,37.75,41,1717,325.0,855,303,2.75,127300,INLAND,141612.5,110063.0,99832.54,104911.48,117170.97
4228,-118.29,34.11,24,3696,1125.0,1685,1031,2.3789,266700,<1H OCEAN,223544.85,284128.05,253014.75,219795.75,257422.33
19030,-122.02,38.38,16,808,137.0,371,145,6.0767,216400,INLAND,242538.08,230194.0,219810.14,211861.29,213621.97
1653,-122.01,37.92,18,2808,337.0,1038,337,8.3956,353600,NEAR BAY,376643.91,398473.16,368070.54,401075.0,409442.94
13584,-117.3,34.13,42,2115,557.0,1532,494,1.4531,71500,INLAND,76925.0,76382.0,79017.81,85332.9,67741.16
3696,-118.37,34.21,33,2034,470.0,1990,423,3.7455,159600,<1H OCEAN,195967.54,175313.0,213726.58,208552.89,163351.61
18683,-121.83,36.98,19,4431,705.0,1764,679,4.3321,298600,<1H OCEAN,256695.25,236789.0,252908.97,255593.96,253246.55
1256,-121.96,39.3,39,701,130.0,271,89,2.1845,112500,INLAND,89539.81,68561.0,74372.2,67190.91,83455.53
4853,-118.3,34.03,37,2781,766.0,2586,729,1.8564,187500,<1H OCEAN,145199.84,260006.0,185587.4,219795.75,199582.39
4661,-118.3,34.05,44,1612,650.0,2028,593,1.9152,115600,<1H OCEAN,162699.44,240215.0,182002.64,187412.12,242710.84
6488,-118.01,34.09,29,3402,747.0,2331,690,3.6094,179200,INLAND,158941.25,254776.0,183380.85,307242.86,244913.12
15169,-117.06,33.01,24,2618,485.0,726,443,3.5192,159100,<1H OCEAN,219313.81,173102.0,214166.67,161297.89,220820.91
9406,-122.53,37.88,36,2688,485.0,1064,449,4.4583,308600,NEAR BAY,273775.55,363544.05,281115.46,338066.67,365003.12
12995,-121.24,38.68,20,1402,236.0,676,236,3.7426,135500,INLAND,126357.73,138810.0,123320.88,146201.42,138105.16
6325,-117.95,34.0,34,2376,468.0,1858,449,4.1328,176300,<1H OCEAN,211558.27,170086.0,212885.44,190356.46,191846.47
4404,-118.23,34.07,40,506,119.0,397,114,3.1944,143800,<1H OCEAN,201479.74,255329.0,209038.85,216082.61,178003.12
10227,-117.89,33.87,32,1569,422.0,835,386,3.0465,148900,<1H OCEAN,201851.32,188519.0,190919.73,172263.64,196372.69
610,-122.09,37.69,20,4296,817.0,1732,800,4.8036,188300,NEAR BAY,278683.1,258851.04,266404.75,255593.96,293586.19
9703,-121.63,36.65,44,309,121.0,315,80,1.6071,112500,<1H OCEAN,169516.22,172070.0,173748.71,187412.12,149109.27
707,-122.05,37.68,23,7518,1279.0,3827,1294,5.1701,216800,NEAR BAY,270699.22,268627.0,260578.34,294855.1,266037.41
14194,-117.04,32.71,28,5274,991.0,3727,961,3.57,109800,NEAR OCEAN,185485.1,137892.0,163379.6,126661.36,151864.36
14209,-117.04,32.7,7,9311,1703.0,7302,1694,4.419,156900,NEAR OCEAN,147261.29,205479.0,184448.5,164688.89,187342.41
4564,-118.26,34.07,52,1802,613.0,2382,587,1.8438,185900,<1H OCEAN,150379.82,214686.01,164002.22,187412.12,167887.28
6646,-118.13,34.17,49,1962,435.0,1329,457,3.2898,200000,<1H OCEAN,214736.87,181794.0,185604.69,216082.61,173028.47
15066,-116.97,32.79,19,4108,1101.0,2971,1006,1.9893,112500,<1H OCEAN,149232.58,124766.0,128623.73,125689.25,109444.26
2510,-119.55,36.51,46,55,11.0,26,5,4.125,67500,INLAND,178283.65,136745.0,156398.75,139640.0,118388.66
19537,-120.92,37.65,23,505,124.0,163,129,1.3696,275000,INLAND,61791.73,105895.0,92328.45,74900.0,131478.06
1032,-120.8,38.51,23,1001,195.0,369,157,3.125,96400,INLAND,102696.71,128620.0,125926.14,127012.72,128431.41
1304,-121.83,38.0,15,6365,1646.0,3838,1458,2.5495,103600,INLAND,150071.29,129117.0,115786.52,122125.81,114346.44
1793,-122.42,37.93,47,3453,779.0,1353,728,4.016,274500,NEAR BAY,289605.19,286214.02,281504.94,285560.0,339823.97
17048,-122.27,37.47,44,3022,473.0,1235,477,6.7058,495900,NEAR OCEAN,375591.66,437927.36,428655.34,485934.17,417664.31
1781,-122.36,37.94,45,907,188.0,479,161,3.0862,79000,NEAR BAY,212623.79,167797.0,158805.7,116991.67,133208.98
8316,-118.32,33.33,52,2127,512.0,733,288,3.3906,300000,ISLAND,308527.6,305175.0,366769.86,274732.69,469728.31
14179,-117.06,32.73,33,3444,619.0,1884,582,3.7891,126700,NEAR OCEAN,223303.37,149238.0,157154.21,161297.89,138055.84
9680,-118.97,37.64,13,1907,544.0,575,234,3.0685,162500,INLAND,80473.59,123783.0,138480.72,127012.72,128579.46
13623,-117.27,34.12,52,954,246.0,943,256,0.8658,87500,INLAND,53250.5,72430.0,75553.51,85332.9,69110.55
9577,-120.55,37.32,21,1410,229.0,590,205,3.3194,141400,INLAND,127570.92,108306.0,118378.33,127012.72,119678.05
7100,-117.99,33.9,33,2161,383.0,1235,383,5.6454,202800,<1H OCEAN,286836.38,255267.03,276535.41,237522.89,274814.38
7094,-118.0,33.91,19,5166,770.0,2374,753,5.979,285200,<1H OCEAN,282062.22,325427.02,272175.63,307672.96,312324.66
8757,-118.37,33.81,36,2031,339.0,817,337,5.1271,458300,NEAR OCEAN,295465.78,395586.18,368422.07,423066.94,385955.91
11447,-117.97,33.66,14,6090,1338.0,1974,1248,2.8061,180300,<1H OCEAN,241091.92,194637.0,208436.58,191577.65,243786.61
15368,-117.17,33.28,16,1921,312.0,862,280,5.1786,376800,<1H OCEAN,246772.85,278313.06,241961.35,320784.69,238282.52
2197,-119.88,36.81,30,2288,474.0,1435,425,1.3221,61200,INLAND,51352.2,57274.0,64936.93,59816.16,55310.72
6043,-117.74,34.05,29,2452,700.0,3029,665,2.1354,110700,INLAND,68599.01,119826.0,95919.04,116358.62,112826.34
14667,-117.13,32.79,35,1458,262.0,723,257,4.2098,174100,NEAR OCEAN,246603.84,209117.01,222895.18,192855.36,186406.27
804,-122.06,37.65,33,1227,286.0,848,291,3.8036,158200,NEAR BAY,227998.25,179919.0,202939.78,208552.89,182691.77
4996,-118.3,33.99,47,2212,533.0,1903,554,1.9853,101100,<1H OCEAN,161729.82,135452.0,174381.78,114761.98,103106.59
3082,-118.06,35.68,15,1962,403.0,730,321,2.25,67500,INLAND,67143.34,85224.0,95515.34,61130.23,90362.03
8587,-118.38,33.89,35,1778,330.0,732,312,6.5745,379300,<1H OCEAN,347539.2,448601.41,445312.96,481263.0,447816.38
16023,-122.45,37.73,52,2510,438.0,1153,407,5.1238,335100,NEAR BAY,310382.06,398136.2,414776.19,416568.18,404919.81
18044,-121.97,37.24,35,2553,533.0,1117,498,4.4063,436100,<1H OCEAN,281575.64,277982.0,280211.05,255593.96,286659.69
7708,-118.14,33.95,44,1812,338.0,822,314,6.7744,294100,<1H OCEAN,354526.08,394912.2,384305.51,424842.5,358608.56
900,-121.97,37.53,35,2277,420.0,1353,413,4.75,197000,<1H OCEAN,266728.53,221460.01,242670.17,255593.96,213398.23
3138,-118.15,34.86,10,4597,1009.0,2227,821,2.6149,83500,INLAND,108767.18,80317.0,99788.08,82496.55,95114.8
14508,-117.2,32.86,4,4308,1095.0,1923,932,3.9356,267000,NEAR OCEAN,249167.48,229371.01,251778.06,226409.52,226739.55
4962,-118.3,34.01,52,1444,343.0,1154,334,2.0625,134400,<1H OCEAN,172198.35,157405.0,168098.49,187412.12,116001.55
11265,-117.98,33.79,35,2356,478.0,1659,480,4.1115,179700,<1H OCEAN,228164.03,195365.0,200817.79,190356.46,217370.95
16853,-122.42,37.62,43,2367,409.0,1141,400,4.8295,319000,NEAR OCEAN,297576.36,265450.0,308159.03,255983.21,272306.88
7431,-118.2,33.94,42,618,163.0,680,179,3.3472,154200,<1H OCEAN,208842.08,130141.0,170222.41,154055.96,113536.83
14733,-117.01,32.81,21,4203,618.0,1620,600,5.3441,193500,<1H OCEAN,271865.27,206807.0,223505.59,204514.29,251396.67
14943,-116.98,32.74,17,3943,843.0,1995,766,2.6944,158300,<1H OCEAN,178584.92,162873.0,143702.09,166416.67,141742.28
943,-122.01,37.53,19,4572,712.0,2346,709,6.0667,245700,NEAR BAY,292046.08,311507.07,290683.9,307672.96,292671.16
6281,-117.92,34.03,32,1819,375.0,1728,375,3.975,162400,<1H OCEAN,197368.54,165648.0,195489.32,190356.46,175423.27
9525,-123.17,39.15,30,1904,331.0,816,325,4.425,161900,<1H OCEAN,248261.69,188982.0,200049.18,144291.67,168815.67
2597,-123.76,41.03,24,2386,565.0,1058,414,2.0644,79800,<1H OCEAN,127876.36,79069.0,115152.11,77637.04,69767.16
16029,-122.44,37.73,46,3581,758.0,1670,703,4.1932,269200,NEAR BAY,285764.43,392093.23,353653.93,445070.6,385946.47
17369,-120.43,34.93,10,2980,585.0,1593,562,3.285,218300,<1H OCEAN,217062.63,167805.0,201547.26,208552.89,155611.67
16859,-122.42,37.64,41,98,20.0,68,19,2.225,212500,NEAR OCEAN,188880.96,284848.04,213333.64,225395.7,301115.72
6420,-117.98,34.14,27,6341,1289.0,2899,1192,3.6336,235200,INLAND,193803.21,291578.0,193400.31,307560.0,272026.0
1834,-122.3,37.91,40,2866,617.0,1305,589,3.6321,209100,NEAR BAY,247946.05,149055.0,206645.76,146496.77,172347.92
8782,-118.32,33.8,29,4317,1037.0,2102,959,3.1275,286400,<1H OCEAN,238166.28,285455.0,249588.55,274732.69,291458.72
5355,-118.41,34.04,49,601,95.0,228,106,8.0239,500001,<1H OCEAN,409918.32,475485.76,471157.6,498312.46,511215.72
17942,-121.94,37.34,36,3142,632.0,1372,560,5.0175,246100,<1H OCEAN,302417.69,280627.02,290725.39,255593.96,282580.41
14566,-117.21,32.84,34,2158,366.0,1046,335,4.5402,182100,NEAR OCEAN,256934.26,288825.05,252104.07,403893.28,259631.28
6654,-118.12,34.16,30,1762,416.0,940,398,2.8631,188600,<1H OCEAN,186986.14,187471.0,181055.48,179949.3,189775.2
2463,-119.87,36.54,34,1370,287.0,818,269,2.4044,72500,INLAND,107818.4,73472.0,71651.02,71933.33,67976.32
10119,-117.92,33.94,30,2506,394.0,1255,421,4.7813,198200,<1H OCEAN,248018.34,216237.0,224957.32,190356.46,220822.53
11503,-118.09,33.75,32,6239,974.0,2615,950,6.6188,380000,NEAR OCEAN,345507.32,460032.43,408076.06,469600.62,381260.88
4964,-118.28,34.0,46,1650,463.0,1992,458,2.3403,114100,<1H OCEAN,161490.65,137716.0,178058.26,128692.59,120604.09
19816,-119.29,36.54,18,2581,628.0,2732,592,1.8429,58300,INLAND,23314.95,60845.0,52486.56,59816.16,56268.96
9803,-121.92,36.55,37,2190,419.0,490,300,3.7852,465800,NEAR OCEAN,282177.86,304513.01,288382.71,285062.66,350018.78
3861,-118.44,34.16,35,3080,642.0,1362,623,4.1218,328500,<1H OCEAN,260120.26,254502.0,268111.01,226591.39,247548.12
13,-122.26,37.84,52,696,191.0,345,174,2.6736,191300,NEAR BAY,210861.4,185660.0,176985.84,178946.55,178208.94
2283,-119.76,36.79,26,3654,837.0,1976,830,2.1544,72800,INLAND,104122.02,74612.0,95724.82,59816.16,74136.23
2049,-119.73,36.73,9,1621,428.0,678,394,2.2437,54200,INLAND,88073.27,83513.0,103245.6,71933.33,87689.57
2991,-118.99,35.3,33,2248,434.0,1461,405,2.9402,56200,INLAND,128059.41,74277.0,79409.26,72856.96,68040.53
4539,-118.2,34.02,49,1098,317.0,1411,301,2.75,146000,<1H OCEAN,181026.77,151327.0,171019.76,137552.94,123659.11
5284,-118.47,34.05,25,2689,719.0,1229,663,3.5909,500001,<1H OCEAN,246481.9,434022.18,333490.15,378980.96,415445.97
7958,-118.18,33.88,47,882,185.0,536,174,4.625,163000,<1H OCEAN,270657.92,169935.0,236646.94,154055.96,183631.7
11195,-117.93,33.83,30,1561,381.0,1104,391,3.375,201900,<1H OCEAN,202467.84,186721.0,180285.2,190356.46,186504.56
16124,-122.47,37.78,52,2635,587.0,1302,577,3.7292,416700,NEAR BAY,270851.83,401830.07,370074.3,476439.84,379852.62
1260,-121.73,38.0,3,9217,1522.0,3578,1272,5.0016,189100,INLAND,206538.27,169261.0,187573.91,156793.75,192665.64
18048,-121.97,37.25,32,2892,496.0,1193,492,6.131,367800,<1H OCEAN,338633.26,343608.01,347817.16,366783.25,352489.34
19205,-122.71,38.44,27,966,251.0,462,230,1.7,350000,<1H OCEAN,148861.83,143985.0,157048.87,134641.56,141084.97
10692,-117.72,33.62,19,5777,1261.0,1711,1225,2.7634,86900,<1H OCEAN,243486.84,181829.0,209114.8,148995.65,217034.14
16017,-122.46,37.72,52,2951,406.0,1115,397,6.7228,405200,NEAR OCEAN,378215.54,433299.39,479043.24,499823.11,423014.28
16552,-121.23,37.84,28,1347,241.0,713,225,4.0208,155700,INLAND,165462.0,133241.0,122074.03,146201.42,155972.44
12047,-117.53,33.88,22,2855,667.0,2453,624,3.1312,91000,INLAND,113099.5,134006.0,116250.71,136219.72,122051.57
14481,-117.25,32.82,23,6139,826.0,2036,807,9.5245,500001,NEAR OCEAN,452823.86,474430.68,477791.92,500001.0,508036.09
6901,-118.15,34.04,33,818,195.0,664,198,2.1944,203300,<1H OCEAN,153161.81,173315.0,155917.46,151470.83,140027.75
2281,-119.79,36.79,19,1524,448.0,960,386,1.5122,47500,INLAND,61149.22,64574.0,77038.94,59816.16,69902.12
704,-122.05,37.63,5,3785,936.0,2240,792,3.2829,162500,NEAR BAY,194078.72,216170.0,208409.3,236768.99,190241.86
12912,-121.32,38.62,29,2430,448.0,1087,394,3.0864,177900,INLAND,119837.21,131512.0,121647.01,127012.72,107845.97
1298,-121.82,38.01,47,1265,254.0,587,247,2.6364,93500,INLAND,150455.01,109206.0,105726.51,104911.48,115369.86
1673,-122.26,38.03,25,2239,361.0,928,353,4.4474,203700,NEAR BAY,242321.1,194096.0,199921.73,179700.0,192921.64
11539,-118.0,33.75,26,1382,387.0,1977,368,2.7589,137500,<1H OCEAN,145403.12,185432.0,149216.27,191577.65,152152.45
7897,-118.07,33.85,16,3771,606.0,2196,564,7.0113,319700,<1H OCEAN,310896.14,364158.11,325676.45,341611.11,340247.22
1549,-121.92,37.73,24,1407,327.0,501,295,2.4821,157200,<1H OCEAN,179757.33,145589.0,198862.56,101561.9,189211.17
9353,-122.56,37.95,34,2677,411.0,933,410,6.1444,500001,NEAR OCEAN,341848.24,417971.15,366522.42,435280.2,382818.72
13583,-117.29,34.13,44,2337,563.0,1238,467,1.5156,75800,INLAND,89582.88,76884.0,93868.52,85332.9,77999.29
6946,-118.08,33.99,38,1683,328.0,1369,339,3.6196,170700,<1H OCEAN,203245.5,203616.0,192991.02,217782.32,174188.34
1101,-121.68,39.82,15,3996,748.0,1786,728,3.5189,141300,INLAND,111925.92,111513.0,118004.63,130166.67,114975.98
17663,-121.89,37.26,25,3319,531.0,1560,502,5.8479,263300,<1H OCEAN,305317.13,265755.0,296943.17,285827.16,284904.31
13774,-117.05,34.04,23,3967,766.0,1518,698,2.29,111800,INLAND,105699.89,99274.0,122617.84,93384.81,100634.39
10285,-117.84,33.9,24,1723,223.0,707,219,7.0352,299600,<1H OCEAN,326597.34,304632.02,325994.53,312104.55,309594.78
10116,-117.93,33.94,28,3664,719.0,1820,657,4.225,224700,<1H OCEAN,236912.95,206013.0,209653.88,190356.46,207032.84
11291,-117.94,33.78,34,2627,468.0,1409,450,4.7731,199200,<1H OCEAN,257438.8,202964.0,219546.03,190356.46,213599.06
13787,-117.29,35.54,35,7922,1636.0,3431,1329,3.4145,40400,INLAND,146581.28,74354.0,100623.62,64187.5,88362.83
12296,-116.88,33.93,37,1495,429.0,865,342,1.2188,55000,INLAND,64075.76,86412.0,80695.19,85332.9,74657.35
11104,-117.88,33.84,34,1410,214.0,837,240,6.1168,213900,<1H OCEAN,301478.5,270122.0,309552.24,328120.2,255435.97
11978,-117.49,33.99,21,2050,392.0,1153,336,4.84,116400,INLAND,187604.97,162525.0,188531.88,174972.86,169844.98
6302,-117.98,34.03,21,797,162.0,484,166,2.625,191100,<1H OCEAN,154999.88,178033.03,186541.81,172263.64,185434.31
20272,-119.23,34.19,16,5297,810.0,1489,667,6.4522,500001,NEAR OCEAN,354870.69,394102.24,350992.18,389986.5,362117.94
10951,-117.86,33.75,13,1632,598.0,3356,659,1.5054,137500,<1H OCEAN,61449.37,156598.0,129157.22,166488.04,128937.99
5436,-118.43,34.01,27,3133,1021.0,2242,1002,2.697,412500,<1H OCEAN,218599.92,312977.0,292392.31,313746.91,331011.16
1684,-122.31,38.01,18,4123,874.0,1895,772,3.2759,195000,NEAR BAY,210818.78,142628.0,177454.41,146496.77,153643.22
15688,-122.43,37.79,52,3486,847.0,1248,813,7.2623,500001,NEAR BAY,440478.45,432794.46,537278.63,461740.4,500576.94
7439,-118.19,33.95,42,1651,463.0,1559,436,2.3882,148100,<1H OCEAN,172198.24,145927.0,138847.06,128692.59,116867.88
15201,-117.11,32.91,15,1840,235.0,855,241,7.5992,310600,<1H OCEAN,341215.48,316435.03,317521.58,272762.5,290321.75
8904,-118.47,34.04,32,2909,748.0,1310,706,4.516,350000,<1H OCEAN,291709.42,456285.56,359980.89,378980.96,423491.81
15911,-122.42,37.75,52,2163,607.0,1447,546,3.3555,275000,NEAR BAY,251463.08,450913.33,343674.33,476439.84,393134.47
13633,-117.34,34.08,35,1380,248.0,730,264,3.2305,93700,INLAND,137111.54,106668.0,119971.4,114912.5,109860.1
1421,-122.06,37.99,17,1319,316.0,384,269,1.8229,137500,NEAR BAY,141273.23,140350.0,145025.07,101561.9,82153.02
936,-122.06,37.54,20,6483,1068.0,3526,1060,5.0838,248200,NEAR BAY,252742.97,247010.0,270379.31,294855.1,269147.91
14035,-117.14,32.74,16,6075,1816.0,2592,1634,2.5553,178100,NEAR OCEAN,275000.99,168082.0,182070.56,160571.43,172908.89
1379,-122.07,38.0,37,978,202.0,462,184,3.625,156300,NEAR BAY,218757.55,145460.0,184506.79,146496.77,148403.8
18741,-122.35,40.57,18,2226,490.0,859,451,1.6821,69400,INLAND,46549.56,76522.0,98405.76,75941.67,83243.84
12850,-121.37,38.69,35,1093,192.0,590,190,2.7009,80200,INLAND,103257.59,104551.0,98776.36,104911.48,96243.95
2494,-120.19,36.6,25,875,214.0,931,214,1.5536,58300,INLAND,60834.1,53456.0,52232.82,59816.16,53528.61
16377,-121.28,38.03,11,826,150.0,684,166,3.9265,107400,INLAND,132861.69,146835.0,126209.78,125070.97,123730.56
12019,-117.51,33.95,12,9016,1486.0,4285,1457,4.9984,169100,INLAND,193129.0,180635.0,194280.01,174972.86,173646.61
8598,-118.36,33.88,31,2518,543.0,1107,508,4.7404,295800,<1H OCEAN,282064.22,363106.03,344002.89,378980.96,370539.16
1704,-122.3,37.97,35,1811,377.0,911,340,3.375,149700,NEAR BAY,216276.93,143216.0,169173.21,146496.77,133695.33
19384,-120.87,37.76,16,1174,249.0,601,242,1.7143,113300,INLAND,60997.37,110182.0,84616.75,105746.91,107758.66
2671,-115.73,33.09,27,452,103.0,258,61,2.9,87500,INLAND,95250.46,94857.0,97896.86,99360.0,73400.02
16540,-121.22,37.79,38,2152,451.0,1320,457,2.5025,101900,INLAND,122457.24,87079.0,85637.16,104911.48,95987.35
1469,-121.98,37.95,14,6290,854.0,2724,820,6.7371,267400,INLAND,261942.12,287938.0,260736.43,211700.0,273019.78
1018,-121.79,37.67,26,2163,339.0,947,346,6.0797,211000,INLAND,266225.59,248218.01,227134.91,282962.5,233137.67
10153,-117.9,33.9,18,3821,576.0,1430,568,6.9399,349600,<1H OCEAN,330624.07,347589.02,334931.81,341611.11,348094.12
1541,-122.04,37.85,27,6039,780.0,2181,761,9.5862,469400,NEAR BAY,439480.2,493954.93,448194.97,499760.87,465551.12
17282,-119.73,34.42,25,2024,312.0,907,335,5.4127,392800,NEAR OCEAN,310002.27,330864.0,312794.14,315228.88,306062.91
12388,-116.44,33.77,18,4872,1110.0,955,656,2.2439,97500,INLAND,125733.07,144977.0,114803.89,139500.0,114549.54
13528,-117.31,34.17,25,2795,596.0,1650,569,3.0078,87100,INLAND,119383.44,100135.0,86393.18,93384.81,97440.02
14655,-117.14,32.8,35,1267,212.0,710,204,2.5368,169600,NEAR OCEAN,175186.61,199342.0,161407.53,227805.56,137637.83
657,-122.13,37.7,43,3046,557.0,1333,544,3.4583,183700,NEAR BAY,236262.9,199417.0,211318.96,208552.89,170383.03
19081,-122.48,38.31,29,2375,560.0,1124,502,2.3276,166200,<1H OCEAN,182383.58,183295.0,184714.9,134641.56,178927.64
8593,-118.37,33.88,44,1325,245.0,669,253,4.4211,324000,<1H OCEAN,267235.78,344059.03,319075.83,378980.96,306789.53
12793,-121.45,38.64,23,1481,343.0,1079,315,1.867,60600,INLAND,60187.34,71045.0,68817.56,74278.15,90368.35
9300,-122.57,38.02,33,9531,1487.0,3798,1409,5.6512,314000,NEAR BAY,319958.13,354505.03,326851.55,294855.1,359367.22
11603,-118.02,33.79,23,6368,1030.0,3281,1001,6.1142,240400,<1H OCEAN,291761.42,315066.04,285774.06,307672.96,304019.78
2584,-124.07,40.87,47,1765,326.0,796,333,2.2138,99200,NEAR OCEAN,165355.58,87449.0,83500.35,77637.04,55865.74
13959,-116.91,34.24,23,6379,1636.0,1350,568,1.6336,124500,INLAND,115423.92,86650.0,88465.29,85332.9,76176.13
10382,-117.65,33.62,15,2708,410.0,1140,389,6.2899,275000,<1H OCEAN,294037.61,306788.0,300074.99,285827.16,296411.78
15098,-116.94,32.81,8,2517,632.0,1686,613,2.136,143500,<1H OCEAN,136635.14,135849.0,111651.04,125689.25,110084.81
2093,-119.78,36.76,50,1343,322.0,1063,342,1.75,49800,INLAND,90203.13,57835.0,51898.89,59816.16,47402.87
1423,-122.05,38.0,16,1085,217.0,356,232,2.3462,75000,NEAR BAY,153045.9,147089.0,136442.24,101561.9,132467.14
17060,-122.24,37.49,30,2956,590.0,1191,594,3.7463,427600,NEAR OCEAN,260881.85,307518.01,281686.02,285062.66,315644.25
12642,-121.46,38.54,39,1453,324.0,843,281,1.7692,63900,INLAND,81629.56,78363.0,78953.81,74278.15,81738.88
6909,-117.93,33.95,31,3600,468.0,1382,435,7.4597,500001,<1H OCEAN,350789.97,390424.12,371873.49,424842.5,414029.22
11419,-117.96,33.69,20,3123,441.0,1319,432,6.091,290400,<1H OCEAN,294864.1,300870.0,278048.4,285827.16,312891.44
1482,-122.04,37.96,27,2587,729.0,1500,623,1.837,175000,NEAR BAY,159116.76,141498.0,151010.09,101561.9,130751.31
16239,-121.3,37.97,52,2259,417.0,766,385,2.2981,105400,INLAND,139660.83,108155.0,117841.96,104911.48,107014.16
18499,-121.74,37.35,34,440,90.0,217,93,5.2327,500001,<1H OCEAN,287952.86,280038.02,281931.62,259418.32,281955.75
20592,-121.58,39.14,52,662,160.0,520,149,0.8928,55000,INLAND,44286.64,90788.0,79115.23,74900.0,63932.0
2028,-119.75,36.71,38,1481,,1543,372,1.4577,49800,INLAND,58085.27,51157.0,49850.04,59816.16,46344.91
8391,-118.36,33.98,29,2861,816.0,1715,775,2.7712,160900,<1H OCEAN,213373.52,280993.03,297532.79,313746.91,290424.34
327,-122.18,37.73,42,909,215.0,646,198,2.9063,80000,NEAR BAY,201166.09,138463.0,178006.15,178946.55,121788.81
3335,-122.64,38.87,16,1177,240.0,519,199,1.5739,73500,INLAND,73458.45,77834.0,86390.81,70391.67,71169.09
1044,-120.72,38.42,17,5654,1085.0,2237,953,3.0465,144100,INLAND,120403.33,126426.0,139142.61,146747.92,130811.05
8230,-118.2,33.77,24,2404,819.0,1566,753,1.5076,145800,NEAR OCEAN,169195.01,155325.0,182958.41,166488.04,153833.97
3721,-118.43,34.2,28,3386,,2240,737,3.0221,290100,<1H OCEAN,169467.52,204357.0,189629.85,207895.74,179529.55
19261,-122.74,38.44,23,2819,612.0,1644,546,2.6576,147900,<1H OCEAN,178021.06,157409.0,157572.53,161993.55,154897.09
7755,-118.12,33.91,35,620,122.0,381,124,3.7917,183900,<1H OCEAN,221644.06,206066.0,201654.74,217782.32,192938.84
6997,-118.03,33.95,37,1772,321.0,934,326,4.1471,177800,<1H OCEAN,236708.65,196908.0,198007.84,190356.46,207464.88
19257,-122.76,38.46,14,4794,767.0,2252,768,4.2061,213100,<1H OCEAN,224340.03,226772.0,216164.01,218292.59,203892.67
17697,-121.83,37.28,33,1115,250.0,1168,261,3.9009,178600,<1H OCEAN,223578.48,168976.0,211263.44,208552.89,173601.56
3518,-118.48,34.25,35,1865,335.0,1074,337,5.1068,223300,<1H OCEAN,272663.7,237050.0,263817.16,259418.32,220576.0
13125,-121.35,38.28,17,2756,557.0,1986,530,3.2234,82000,INLAND,104160.89,119717.0,107578.8,127012.72,111833.05
8125,-118.18,33.82,43,2210,469.0,1042,418,3.5,216700,NEAR OCEAN,239300.0,237236.02,230010.4,240860.0,218458.78
18619,-122.02,37.01,20,1005,138.0,345,129,10.0968,500001,NEAR OCEAN,481972.82,490190.86,490635.7,499760.87,474264.62
10490,-117.67,33.49,10,366,61.0,128,61,8.163,250000,<1H OCEAN,366610.01,376923.09,392132.22,378792.38,446511.0
13382,-117.59,34.13,10,20263,3915.0,9716,3744,3.8505,169600,INLAND,219664.52,164771.0,170281.48,188063.64,160538.59
6196,-117.89,34.09,35,1205,330.0,583,319,2.3971,188900,<1H OCEAN,173977.74,174423.02,200248.17,175678.05,201606.88
19179,-122.68,38.43,29,488,63.0,161,62,6.0774,334400,<1H OCEAN,310963.05,350084.07,305596.12,388692.38,314955.47
8675,-118.32,33.87,28,3763,762.0,1967,724,5.3244,271900,<1H OCEAN,293939.95,293187.03,291795.52,294855.1,289545.22
9030,-118.58,34.06,25,4440,693.0,1560,636,8.8666,500001,<1H OCEAN,432925.49,479192.75,498808.31,439519.95,510631.47
6995,-118.03,33.96,37,1180,256.0,614,242,3.117,164600,<1H OCEAN,200014.03,191597.0,202049.92,190356.46,199646.28
11037,-117.81,33.82,20,2819,319.0,1019,319,12.2092,500001,<1H OCEAN,523866.05,482587.69,434240.3,474000.4,486573.97
18350,-122.15,37.41,29,473,103.0,359,87,7.0309,475000,NEAR BAY,353300.64,424061.38,388826.99,417680.0,422848.62
12310,-116.87,33.57,12,1153,265.0,446,195,3.038,128100,INLAND,112681.29,161100.0,125191.95,139500.0,145264.92
993,-121.72,37.7,17,1671,352.0,729,252,6.1023,450000,INLAND,258997.54,239565.0,230882.61,300940.0,255023.41
1694,-122.26,38.0,6,678,104.0,318,91,5.2375,246400,NEAR BAY,246836.07,224505.0,222773.91,259418.32,190852.97
5814,-118.25,34.14,13,3487,1131.0,3749,1072,2.1602,221900,<1H OCEAN,129835.84,233216.0,180772.42,219795.75,184724.56
